Time SPL GCR BRC VID ORO ALF ANG CHO OTA DOL CET BIR SQD OCT LPF SPF SBF LBF SZO MZO LZO SCR BFF LPH SPH COR BCA MOL MA PB BB DL DR DC DIN RelSPL RelGCR RelBRC RelVID RelORO RelALF RelANG RelCHO RelOTA RelDOL RelCET RelBIR RelSQD RelOCT RelLPF RelSPF RelSBF RelLBF RelSZO RelMZO RelLZO RelSCR RelBFF RelLPH RelSPH RelCOR RelBCA RelMOL RelMA RelPB RelBB RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 63.253140 2344.475525 216.406762 4.165051 4892.614176 2682.013133 0.014420 87.984317 518.519531 215.409919 216842.528518 0.585849 0.000498 0.000722 188.269323 2083.285783 58.371968 117.725134 0.000208 0.000146 0.000102 0.025054 0.000000 0.008276 0.012482 0.000005 0.000013 0.000022 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 2119657.935655 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 18905.950733 3.208017
1.000000e+00 0.000000 0.000000 216.404915 4.165138 4892.614356 2682.013269 0.014359 87.984377 518.521858 215.409935 216842.420715 0.585884 0.310949 0.311143 188.265165 2083.270020 58.370952 115.227428 0.501538 0.501537 0.476320 0.025131 0.000080 0.260665 0.261098 0.000083 0.000089 0.000098 0.000083 0.261083 0.000080 0.000104 0.000097 0.000000 2195728.684462 0.000000 0.000000 0.999991 1.000021 1.000000 1.000000 0.995820 1.000001 1.000004 1.000000 1.000000 1.000059 624.602259 431.195747 0.999978 0.999992 0.999983 0.978784 2408.147302 3438.599406 4680.848593 1.003046 1.000000 31.494830 20.917199 15.019817 7.041811 4.407128 14.933966 1.000000 1.000000 1.000000 1.000000 1.000000 1.035888 2061952810369400064.000000 626.277052 9.466667 0.114318 19112.584313 0.000000
2.000000e+00 0.000000 0.000000 204.792327 4.165224 4892.614688 2682.013331 0.014360 87.984438 518.524184 215.409950 216842.312912 0.585918 0.462604 0.470446 188.262208 2083.258926 58.369866 106.861550 0.915580 0.915730 0.925230 0.025130 0.000080 0.260767 0.261220 0.000083 0.000089 0.000098 0.000083 4.379469 0.000080 0.000128 0.000115 0.000000 2342696.598495 0.000000 0.000000 0.946331 1.000042 1.000000 1.000000 0.995834 1.000001 1.000009 1.000000 0.999999 1.000118 929.230622 651.963529 0.999962 0.999987 0.999964 0.907721 4396.175872 6278.357297 9092.340160 1.003011 1.000000 31.507252 20.926960 15.019817 7.041810 4.407127 14.933965 1.000000 1.000000 1.000000 1.000000 1.000000 1.105224 833527678382501760.000000 2265.135558 10.555556 0.228635 19112.574811 0.000000
3.000000e+00 0.000000 0.000000 204.792075 4.165311 4892.615002 2663.582022 0.014360 87.984497 518.526510 215.409963 216842.205109 0.585953 0.569519 0.582880 145.075288 2083.251735 58.368849 100.279736 1.312642 1.313289 1.361912 0.025129 0.000080 0.260902 0.261373 0.000083 0.000089 0.000098 0.000083 4.380836 0.000080 0.000153 0.000135 0.000000 2489423.162670 0.000000 0.000000 0.946329 1.000062 1.000000 0.993128 0.995848 1.000002 1.000013 1.000000 0.999999 1.000177 1143.992074 807.779471 0.770573 0.999984 0.999947 0.851812 6302.675193 9004.073719 13383.658321 1.002976 1.000000 31.523523 20.939232 15.019817 7.041809 4.407125 14.933965 1.000000 1.000000 1.000000 1.000000 1.000000 1.174446 540181589451027136.000000 3889.145294 10.688889 0.228635 19112.565309 0.000000
4.000000e+00 0.000000 0.000000 204.791991 4.165394 4892.615284 2663.582084 0.014360 87.984568 518.528743 215.409974 216842.097306 0.585987 0.646188 0.664036 145.074035 2083.245467 58.367788 99.422110 1.694194 1.695854 1.795180 0.025128 0.000080 0.261070 0.261560 0.000083 0.000089 0.000098 0.000083 4.389266 0.000080 0.000177 0.000155 0.000000 2635904.243672 0.000000 0.000000 0.946329 1.000082 1.000000 0.993128 0.995863 1.000003 1.000018 1.000000 0.999998 1.000236 1297.996328 920.248846 0.770567 0.999981 0.999928 0.844527 8134.705626 11626.988890 17641.434409 1.002941 1.000000 31.543865 20.954193 15.019817 7.041808 4.407123 14.933964 1.000000 1.000000 1.000000 1.000000 1.000000 1.243552 512025431850554432.000000 4157.584159 10.755556 0.228636 19112.555808 0.000000
5.000000e+00 0.000000 0.000000 204.791933 4.165477 4892.615535 2663.582142 0.014360 87.984646 518.530976 215.409986 216841.989504 0.586022 0.708140 0.733725 145.072832 2083.239338 58.366753 99.400240 2.061859 2.065196 2.226809 0.025127 0.000080 0.261279 0.261788 0.000083 0.000089 0.000098 0.000083 4.440105 0.000080 0.000201 0.000178 0.000000 2782137.443434 0.000000 0.000000 0.946329 1.000102 1.000000 0.993128 0.995877 1.000004 1.000022 1.000000 0.999998 1.000295 1422.438462 1016.827771 0.770560 0.999978 0.999911 0.844342 9900.058728 14159.239869 21883.101468 1.002906 1.000000 31.569073 20.972418 15.019817 7.041807 4.407121 14.933963 1.000000 1.000000 1.000000 1.000000 1.000000 1.312541 518906035606636224.000000 4112.075809 10.755556 0.228636 19112.546306 0.000000
6.000000e+00 0.000000 0.000000 204.791877 4.165559 4892.615757 2663.582193 0.014360 87.984727 518.533209 215.409998 216841.881701 0.586057 0.770094 0.803418 145.071635 2083.233218 58.365786 99.398481 2.415775 2.422876 2.658003 0.025126 0.000080 0.261523 0.262041 0.000083 0.000089 0.000098 0.000083 4.440493 0.000081 0.000226 0.000201 0.000000 2927257.260703 0.000000 0.000000 0.946328 1.000122 1.000000 0.993128 0.995892 1.000005 1.000026 1.000000 0.999997 1.000354 1546.885228 1113.411204 0.770554 0.999975 0.999894 0.844327 11599.394788 16611.540480 26120.495249 1.002870 1.000000 31.598543 20.992749 15.019817 7.041806 4.407119 14.933963 1.000000 1.000000 1.000000 1.000000 1.000000 1.381005 517226526477612032.000000 4124.637627 10.755556 0.228636 19112.536804 0.000000
7.000000e+00 0.000000 0.000000 204.791822 4.165642 4892.615955 2663.582238 0.014361 87.984809 518.535443 215.410009 216841.773898 0.586091 0.832050 0.873115 145.070438 2083.227086 58.364887 99.396993 2.757935 2.768800 3.088956 0.025125 0.000080 0.261870 0.262410 0.000083 0.000089 0.000098 0.000083 4.442980 0.000081 0.000250 0.000226 0.000000 3073432.686719 0.000000 0.000000 0.946328 1.000142 1.000000 0.993128 0.995906 1.000006 1.000031 1.000000 0.999997 1.000413 1671.337399 1209.999978 0.770547 0.999972 0.999879 0.844314 13242.280103 18983.240519 30355.515916 1.002835 1.000000 31.640539 21.022261 15.019817 7.041804 4.407117 14.933962 1.000000 1.000000 1.000000 1.000000 1.000000 1.449966 516273618870746880.000000 4131.809332 10.733333 0.228636 19112.527302 0.000000
8.000000e+00 0.000000 0.000000 204.791766 4.165725 4892.616133 2663.582278 0.014361 87.984891 518.537677 215.410021 216841.666096 0.586126 0.894010 0.942816 145.069241 2083.220940 58.364050 99.395481 3.087990 3.103717 3.519815 0.025124 0.000080 0.262300 0.262863 0.000083 0.000089 0.000098 0.000083 4.442993 0.000081 0.000275 0.000251 0.000000 3219359.108756 0.000000 0.000000 0.946328 1.000162 1.000000 0.993128 0.995921 1.000007 1.000035 1.000000 0.999996 1.000472 1795.794829 1306.593905 0.770541 0.999969 0.999864 0.844301 14827.049182 21279.469347 34589.616171 1.002799 1.000000 31.692436 21.058590 15.019817 7.041803 4.407115 14.933961 1.000000 1.000000 1.000000 1.000000 1.000000 1.518811 515605644404618560.000000 4136.833155 10.533333 0.228636 19112.517801 0.000000
9.000000e+00 0.000000 0.000000 204.791710 4.165808 4892.616292 2663.582314 0.014361 87.984974 518.539911 215.410033 216841.558294 0.586160 0.955972 1.012520 145.068044 2083.214778 58.363268 99.393975 3.406504 3.428326 3.950585 0.025124 0.000080 0.262832 0.263425 0.000083 0.000089 0.000098 0.000083 4.442993 0.000081 0.000299 0.000278 0.000000 3365036.953259 0.000000 0.000000 0.946328 1.000182 1.000000 0.993128 0.995935 1.000007 1.000039 1.000001 0.999996 1.000531 1920.257818 1403.193295 0.770535 0.999966 0.999851 0.844288 16356.398863 23505.033409 38822.844950 1.002764 1.000000 31.756748 21.103561 15.019817 7.041801 4.407112 14.933961 1.000000 1.000000 1.000000 1.000000 1.000000 1.587538 515095773585112192.000000 4140.671758 10.533333 0.228636 19112.508299 0.000000
