Time VID_juv_0_Migrating_Biomass(tonnes) VID_juv_0_Total_biomass(tonnes) VID_juv_0_Prop_Migrating VID_ad_0_Migrating_Biomass(tonnes) VID_ad_0_Total_biomass(tonnes) VID_ad_0_Prop_Migrating DOL_juv_0_Migrating_Biomass(tonnes) DOL_juv_0_Total_biomass(tonnes) DOL_juv_0_Prop_Migrating DOL_ad_0_Migrating_Biomass(tonnes) DOL_ad_0_Total_biomass(tonnes) DOL_ad_0_Prop_Migrating CET_juv_0_Migrating_Biomass(tonnes) CET_juv_0_Total_biomass(tonnes) CET_juv_0_Prop_Migrating CET_ad_0_Migrating_Biomass(tonnes) CET_ad_0_Total_biomass(tonnes) CET_ad_0_Prop_Migrating BIR_juv_0_Migrating_Biomass(tonnes) BIR_juv_0_Total_biomass(tonnes) BIR_juv_0_Prop_Migrating BIR_ad_0_Migrating_Biomass(tonnes) BIR_ad_0_Total_biomass(tonnes) BIR_ad_0_Prop_Migrating
0.000000e+00 0.000000e+00 3.250370e+00 0.000000e+00 0.000000e+00 9.146808e-01 0.000000e+00 0.000000e+00 5.937200e+00 0.000000e+00 0.000000e+00 2.094727e+02 0.000000e+00 0.000000e+00 9.224479e+04 0.000000e+00 0.000000e+00 1.245977e+05 0.000000e+00 0.000000e+00 1.020312e-01 0.000000e+00 0.000000e+00 4.838181e-01 0.000000e+00
1.000000e+00 0.000000e+00 3.250418e+00 0.000000e+00 0.000000e+00 9.147198e-01 0.000000e+00 0.000000e+00 5.937200e+00 0.000000e+00 0.000000e+00 2.094727e+02 0.000000e+00 0.000000e+00 9.224467e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020374e-01 0.000000e+00 0.000000e+00 4.838463e-01 0.000000e+00
2.000000e+00 0.000000e+00 3.250466e+00 0.000000e+00 0.000000e+00 9.147587e-01 0.000000e+00 0.000000e+00 5.937201e+00 0.000000e+00 0.000000e+00 2.094727e+02 0.000000e+00 0.000000e+00 9.224455e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020436e-01 0.000000e+00 0.000000e+00 4.838747e-01 0.000000e+00
3.000000e+00 0.000000e+00 3.250513e+00 0.000000e+00 0.000000e+00 9.147977e-01 0.000000e+00 0.000000e+00 5.937201e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224443e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020498e-01 0.000000e+00 0.000000e+00 4.839030e-01 0.000000e+00
4.000000e+00 0.000000e+00 3.250559e+00 0.000000e+00 0.000000e+00 9.148347e-01 0.000000e+00 0.000000e+00 5.937202e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224432e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020560e-01 0.000000e+00 0.000000e+00 4.839314e-01 0.000000e+00
5.000000e+00 0.000000e+00 3.250605e+00 0.000000e+00 0.000000e+00 9.148717e-01 0.000000e+00 0.000000e+00 5.937202e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224420e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020622e-01 0.000000e+00 0.000000e+00 4.839597e-01 0.000000e+00
6.000000e+00 0.000000e+00 3.250651e+00 0.000000e+00 0.000000e+00 9.149087e-01 0.000000e+00 0.000000e+00 5.937203e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224408e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020684e-01 0.000000e+00 0.000000e+00 4.839881e-01 0.000000e+00
7.000000e+00 0.000000e+00 3.250697e+00 0.000000e+00 0.000000e+00 9.149457e-01 0.000000e+00 0.000000e+00 5.937204e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224397e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020746e-01 0.000000e+00 0.000000e+00 4.840165e-01 0.000000e+00
8.000000e+00 0.000000e+00 3.250742e+00 0.000000e+00 0.000000e+00 9.149827e-01 0.000000e+00 0.000000e+00 5.937204e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224385e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020808e-01 0.000000e+00 0.000000e+00 4.840449e-01 0.000000e+00
9.000000e+00 0.000000e+00 3.250788e+00 0.000000e+00 0.000000e+00 9.150197e-01 0.000000e+00 0.000000e+00 5.937205e+00 0.000000e+00 0.000000e+00 2.094728e+02 0.000000e+00 0.000000e+00 9.224373e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020871e-01 0.000000e+00 0.000000e+00 4.840732e-01 0.000000e+00
1.000000e+01 0.000000e+00 3.250834e+00 0.000000e+00 0.000000e+00 9.150567e-01 0.000000e+00 0.000000e+00 5.937206e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224361e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020933e-01 0.000000e+00 0.000000e+00 4.841016e-01 0.000000e+00
1.100000e+01 0.000000e+00 3.250880e+00 0.000000e+00 0.000000e+00 9.150937e-01 0.000000e+00 0.000000e+00 5.937206e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224350e+04 0.000000e+00 0.000000e+00 1.245978e+05 0.000000e+00 0.000000e+00 1.020995e-01 0.000000e+00 0.000000e+00 4.841300e-01 0.000000e+00
1.200000e+01 0.000000e+00 3.250925e+00 0.000000e+00 0.000000e+00 9.151307e-01 0.000000e+00 0.000000e+00 5.937207e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224338e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021057e-01 0.000000e+00 0.000000e+00 4.841584e-01 0.000000e+00
1.300000e+01 0.000000e+00 3.250971e+00 0.000000e+00 0.000000e+00 9.151677e-01 0.000000e+00 0.000000e+00 5.937207e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224326e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021119e-01 0.000000e+00 0.000000e+00 4.841868e-01 0.000000e+00
1.400000e+01 0.000000e+00 3.251017e+00 0.000000e+00 0.000000e+00 9.152047e-01 0.000000e+00 0.000000e+00 5.937208e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224314e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021181e-01 0.000000e+00 0.000000e+00 4.842152e-01 0.000000e+00
1.500000e+01 0.000000e+00 3.251063e+00 0.000000e+00 0.000000e+00 9.152417e-01 0.000000e+00 0.000000e+00 5.937209e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224303e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021243e-01 0.000000e+00 0.000000e+00 4.842436e-01 0.000000e+00
1.600000e+01 0.000000e+00 3.251109e+00 0.000000e+00 0.000000e+00 9.152787e-01 0.000000e+00 0.000000e+00 5.937209e+00 0.000000e+00 0.000000e+00 2.094729e+02 0.000000e+00 0.000000e+00 9.224291e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021305e-01 0.000000e+00 0.000000e+00 4.842720e-01 0.000000e+00
1.700000e+01 0.000000e+00 3.251154e+00 0.000000e+00 0.000000e+00 9.153157e-01 0.000000e+00 0.000000e+00 5.937210e+00 0.000000e+00 0.000000e+00 2.094730e+02 0.000000e+00 0.000000e+00 9.224279e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021368e-01 0.000000e+00 0.000000e+00 4.843004e-01 0.000000e+00
1.800000e+01 0.000000e+00 3.251200e+00 0.000000e+00 0.000000e+00 9.153527e-01 0.000000e+00 0.000000e+00 5.937211e+00 0.000000e+00 0.000000e+00 2.094730e+02 0.000000e+00 0.000000e+00 9.224268e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021430e-01 0.000000e+00 0.000000e+00 4.843288e-01 0.000000e+00
1.900000e+01 0.000000e+00 3.251246e+00 0.000000e+00 0.000000e+00 9.153897e-01 0.000000e+00 0.000000e+00 5.937211e+00 0.000000e+00 0.000000e+00 2.094730e+02 0.000000e+00 0.000000e+00 9.224256e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021492e-01 0.000000e+00 0.000000e+00 4.843572e-01 0.000000e+00
2.000000e+01 0.000000e+00 3.251292e+00 0.000000e+00 0.000000e+00 9.154267e-01 0.000000e+00 0.000000e+00 5.937212e+00 0.000000e+00 0.000000e+00 2.094730e+02 0.000000e+00 0.000000e+00 9.224244e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021554e-01 0.000000e+00 0.000000e+00 4.843856e-01 0.000000e+00
2.100000e+01 0.000000e+00 3.251338e+00 0.000000e+00 0.000000e+00 9.154637e-01 0.000000e+00 0.000000e+00 5.937212e+00 0.000000e+00 0.000000e+00 2.094730e+02 0.000000e+00 0.000000e+00 9.224232e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021616e-01 0.000000e+00 0.000000e+00 4.636232e-01 0.000000e+00
2.200000e+01 0.000000e+00 3.251383e+00 0.000000e+00 0.000000e+00 9.155007e-01 0.000000e+00 0.000000e+00 5.937213e+00 0.000000e+00 0.000000e+00 2.094730e+02 0.000000e+00 0.000000e+00 9.224221e+04 0.000000e+00 0.000000e+00 1.245979e+05 0.000000e+00 0.000000e+00 1.021678e-01 0.000000e+00 0.000000e+00 4.636516e-01 0.000000e+00
