Time VID_DEN VID_SN VID_RN VID_Biomass DOL_DEN DOL_SN DOL_RN DOL_Biomass CET_DEN CET_SN CET_RN CET_Biomass BIR_DEN BIR_SN BIR_RN BIR_Biomass
0.000000e+00 9.865868e+03 1.014582e+03 2.688644e+03 4.165051e+00 4.025600e+04 1.285989e+04 3.407872e+04 2.154099e+02 2.012800e+04 2.589084e+07 6.861072e+07 2.168425e+05 1.944000e+04 7.242567e+01 1.919277e+02 5.858493e-01
1.000000e+00 9.865859e+03 1.014604e+03 2.688702e+03 4.165138e+00 4.025600e+04 1.285989e+04 3.407872e+04 2.154099e+02 2.012798e+04 2.589085e+07 6.861075e+07 2.168424e+05 1.944000e+04 7.242995e+01 1.919390e+02 5.858838e-01
2.000000e+00 9.865851e+03 1.014626e+03 2.688760e+03 4.165224e+00 4.025600e+04 1.285989e+04 3.407872e+04 2.154100e+02 2.012796e+04 2.589086e+07 6.861078e+07 2.168423e+05 1.943999e+04 7.243423e+01 1.919503e+02 5.859183e-01
3.000000e+00 9.865842e+03 1.014648e+03 2.688819e+03 4.165311e+00 4.025600e+04 1.285990e+04 3.407872e+04 2.154100e+02 2.012795e+04 2.589087e+07 6.861080e+07 2.168422e+05 1.943999e+04 7.243852e+01 1.919617e+02 5.859528e-01
4.000000e+00 9.865833e+03 1.014669e+03 2.688874e+03 4.165394e+00 4.025600e+04 1.285990e+04 3.407873e+04 2.154100e+02 2.012793e+04 2.589088e+07 6.861083e+07 2.168421e+05 1.943999e+04 7.244280e+01 1.919731e+02 5.859874e-01
5.000000e+00 9.865825e+03 1.014690e+03 2.688930e+03 4.165477e+00 4.025600e+04 1.285990e+04 3.407873e+04 2.154100e+02 2.012791e+04 2.589089e+07 6.861086e+07 2.168420e+05 1.943998e+04 7.244709e+01 1.919844e+02 5.860220e-01
6.000000e+00 9.865816e+03 1.014711e+03 2.688986e+03 4.165559e+00 4.025600e+04 1.285990e+04 3.407873e+04 2.154100e+02 2.012789e+04 2.589090e+07 6.861088e+07 2.168419e+05 1.943998e+04 7.245138e+01 1.919958e+02 5.860565e-01
7.000000e+00 9.865808e+03 1.014732e+03 2.689042e+03 4.165642e+00 4.025600e+04 1.285990e+04 3.407873e+04 2.154100e+02 2.012787e+04 2.589091e+07 6.861091e+07 2.168418e+05 1.943997e+04 7.245566e+01 1.920071e+02 5.860911e-01
8.000000e+00 9.865799e+03 1.014753e+03 2.689097e+03 4.165725e+00 4.025600e+04 1.285990e+04 3.407874e+04 2.154100e+02 2.012786e+04 2.589092e+07 6.861094e+07 2.168417e+05 1.943997e+04 7.245995e+01 1.920185e+02 5.861257e-01
9.000000e+00 9.865790e+03 1.014774e+03 2.689153e+03 4.165808e+00 4.025600e+04 1.285990e+04 3.407874e+04 2.154101e+02 2.012784e+04 2.589093e+07 6.861096e+07 2.168416e+05 1.943997e+04 7.246424e+01 1.920299e+02 5.861603e-01
1.000000e+01 9.865782e+03 1.014795e+03 2.689209e+03 4.165891e+00 4.025600e+04 1.285990e+04 3.407874e+04 2.154101e+02 2.012782e+04 2.589094e+07 6.861099e+07 2.168415e+05 1.943996e+04 7.246853e+01 1.920412e+02 5.861949e-01
1.100000e+01 9.865773e+03 1.014816e+03 2.689265e+03 4.165973e+00 4.025600e+04 1.285990e+04 3.407874e+04 2.154101e+02 2.012780e+04 2.589095e+07 6.861102e+07 2.168413e+05 1.943996e+04 7.247282e+01 1.920526e+02 5.862295e-01
1.200000e+01 9.865764e+03 1.014838e+03 2.689321e+03 4.166056e+00 4.025600e+04 1.285990e+04 3.407874e+04 2.154101e+02 2.012779e+04 2.589096e+07 6.861104e+07 2.168412e+05 1.943996e+04 7.247712e+01 1.920640e+02 5.862641e-01
1.300000e+01 9.865756e+03 1.014859e+03 2.689376e+03 4.166139e+00 4.025600e+04 1.285990e+04 3.407875e+04 2.154101e+02 2.012777e+04 2.589097e+07 6.861107e+07 2.168411e+05 1.943995e+04 7.248141e+01 1.920754e+02 5.862987e-01
1.400000e+01 9.865747e+03 1.014880e+03 2.689432e+03 4.166222e+00 4.025600e+04 1.285991e+04 3.407875e+04 2.154101e+02 2.012775e+04 2.589098e+07 6.861110e+07 2.168410e+05 1.943995e+04 7.248570e+01 1.920867e+02 5.863333e-01
